Date : 2025-10-16 11:53:10
Directory : /Users/lucaswhelan/nesolagus-suite
Total : 404 files,  94685 codes, 1900 comments, 7533 blanks, all 104118 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| engine/backend/src/services                                                                                               |          3 |        867 |        125 |        129 |      1,121 |
| engine/backend/src/utils                                                                                                  |          1 |         36 |          0 |          9 |         45 |
| engine/backend/src/validators                                                                                             |          2 |         51 |          2 |          5 |         58 |
| engine/config                                                                                                             |          9 |      1,022 |          0 |         22 |      1,044 |
| engine/config (Files)                                                                                                     |          2 |        209 |          0 |          2 |        211 |
| engine/config/clients                                                                                                     |          5 |        579 |          0 |         18 |        597 |
| engine/config/schema                                                                                                      |          2 |        234 |          0 |          2 |        236 |
| engine/docs                                                                                                               |          5 |      2,128 |          0 |        597 |      2,725 |
| engine/examples                                                                                                           |          1 |         25 |          0 |          1 |         26 |
| engine/examples/simple-feedback                                                                                           |          1 |         25 |          0 |          1 |         26 |
| engine/frontend                                                                                                           |         70 |     18,543 |        206 |      1,003 |     19,752 |
| engine/frontend (Files)                                                                                                   |          7 |     10,097 |          2 |          7 |     10,106 |
| engine/frontend/src                                                                                                       |         63 |      8,446 |        204 |        996 |      9,646 |
| engine/frontend/src (Files)                                                                                               |          4 |        193 |          6 |         12 |        211 |
| engine/frontend/src/components                                                                                            |         40 |      6,118 |        111 |        739 |      6,968 |
| engine/frontend/src/components (Files)                                                                                    |          1 |         89 |          1 |         16 |        106 |
| engine/frontend/src/components/Admin                                                                                      |         18 |      2,188 |         13 |        291 |      2,492 |
| engine/frontend/src/components/Admin (Files)                                                                              |          7 |      1,475 |          7 |        190 |      1,672 |
| engine/frontend/src/components/Admin/dashboard                                                                            |          5 |        482 |          0 |         62 |        544 |
| engine/frontend/src/components/Admin/ui                                                                                   |          6 |        231 |          6 |         39 |        276 |
| engine/frontend/src/components/Survey                                                                                     |         21 |      3,841 |         97 |        432 |      4,370 |
| engine/frontend/src/components/Survey (Files)                                                                             |          6 |      1,181 |         47 |        146 |      1,374 |
| engine/frontend/src/components/Survey/QuestionTypes                                                                       |         15 |      2,660 |         50 |        286 |      2,996 |
| engine/frontend/src/contexts                                                                                              |          2 |        148 |         14 |         23 |        185 |
| engine/frontend/src/hooks                                                                                                 |          1 |          4 |          0 |          1 |          5 |
| engine/frontend/src/pages                                                                                                 |          6 |        817 |          9 |        104 |        930 |
| engine/frontend/src/services                                                                                              |          2 |        284 |         16 |         51 |        351 |
| engine/frontend/src/store                                                                                                 |          3 |        293 |         15 |         22 |        330 |
| engine/frontend/src/store (Files)                                                                                         |          1 |         11 |          0 |          2 |         13 |
| engine/frontend/src/store/slices                                                                                          |          2 |        282 |         15 |         20 |        317 |
| engine/frontend/src/styles                                                                                                |          2 |        272 |          2 |          1 |        275 |
| engine/frontend/src/types                                                                                                 |          1 |         81 |          0 |          7 |         88 |
| engine/frontend/src/utils                                                                                                 |          2 |        236 |         31 |         36 |        303 |
| engine/scripts                                                                                                            |          6 |        591 |         50 |         99 |        740 |
| nesolagus-dashboard                                                                                                       |         89 |     18,898 |        354 |      1,394 |     20,646 |
| nesolagus-dashboard/Nesolagus-dashboard                                                                                   |         89 |     18,898 |        354 |      1,394 |     20,646 |
| nesolagus-dashboard/Nesolagus-dashboard (Files)                                                                           |          7 |      7,510 |          1 |         27 |      7,538 |
| nesolagus-dashboard/Nesolagus-dashboard/docs                                                                              |          6 |      2,208 |          0 |        568 |      2,776 |
| nesolagus-dashboard/Nesolagus-dashboard/public                                                                            |          8 |          5 |          0 |          3 |          8 |
| nesolagus-dashboard/Nesolagus-dashboard/public (Files)                                                                    |          5 |          5 |          0 |          0 |          5 |
| nesolagus-dashboard/Nesolagus-dashboard/public/data                                                                       |          3 |          0 |          0 |          3 |          3 |
| nesolagus-dashboard/Nesolagus-dashboard/scripts                                                                           |          1 |         38 |          2 |          8 |         48 |
| nesolagus-dashboard/Nesolagus-dashboard/src                                                                               |         67 |      9,137 |        351 |        788 |     10,276 |
| nesolagus-dashboard/Nesolagus-dashboard/src/app                                                                           |         34 |      6,586 |        184 |        465 |      7,235 |
| nesolagus-dashboard/Nesolagus-dashboard/src/app (Files)                                                                   |          5 |        748 |         19 |         45 |        812 |
| nesolagus-dashboard/Nesolagus-dashboard/src/app/analysis                                                                  |          1 |         53 |          3 |         12 |         68 |
| nesolagus-dashboard/Nesolagus-dashboard/src/app/analytics                                                                 |          1 |        764 |          3 |         60 |        827 |
| nesolagus-dashboard/Nesolagus-dashboard/src/app/api                                                                       |         13 |        918 |         54 |        107 |      1,079 |
| nesolagus-dashboard/Nesolagus-dashboard/src/app/api/export                                                                |          4 |        162 |         11 |         26 |        199 |
| nesolagus-dashboard/Nesolagus-dashboard/src/app/api/export/[type]                                                         |          1 |         53 |          1 |         10 |         64 |
| nesolagus-dashboard/Nesolagus-dashboard/src/app/api/export/csv                                                            |          1 |         24 |          5 |          5 |         34 |
| nesolagus-dashboard/Nesolagus-dashboard/src/app/api/export/engagement-metrics                                             |          1 |         24 |          5 |          5 |         34 |
| nesolagus-dashboard/Nesolagus-dashboard/src/app/api/export/narratives                                                     |          1 |         61 |          0 |          6 |         67 |
| nesolagus-dashboard/Nesolagus-dashboard/src/app/api/media                                                                 |          2 |         48 |          0 |          4 |         52 |
| nesolagus-dashboard/Nesolagus-dashboard/src/app/api/media/audio                                                           |          1 |         24 |          0 |          2 |         26 |
| nesolagus-dashboard/Nesolagus-dashboard/src/app/api/media/methodology                                                     |          1 |         24 |          0 |          2 |         26 |
| nesolagus-dashboard/Nesolagus-dashboard/src/app/api/metrics                                                               |          1 |        166 |         11 |         16 |        193 |
| nesolagus-dashboard/Nesolagus-dashboard/src/app/api/models                                                                |          1 |         57 |          0 |          4 |         61 |
| nesolagus-dashboard/Nesolagus-dashboard/src/app/api/models/distribution                                                   |          1 |         57 |          0 |          4 |         61 |
| nesolagus-dashboard/Nesolagus-dashboard/src/app/api/narratives                                                            |          1 |         86 |          5 |         12 |        103 |
| nesolagus-dashboard/Nesolagus-dashboard/src/app/api/participants                                                          |          1 |        154 |         13 |         12 |        179 |
| nesolagus-dashboard/Nesolagus-dashboard/src/app/api/personas                                                              |          1 |         68 |          3 |         10 |         81 |
| nesolagus-dashboard/Nesolagus-dashboard/src/app/api/personas/export                                                       |          1 |         68 |          3 |         10 |         81 |
| nesolagus-dashboard/Nesolagus-dashboard/src/app/api/question-breakdown                                                    |          1 |        118 |         11 |         20 |        149 |
| nesolagus-dashboard/Nesolagus-dashboard/src/app/api/rank                                                                  |          1 |         59 |          0 |          3 |         62 |
| nesolagus-dashboard/Nesolagus-dashboard/src/app/api/rank/priorities                                                       |          1 |         59 |          0 |          3 |         62 |
| nesolagus-dashboard/Nesolagus-dashboard/src/app/community-pulse                                                           |          2 |        406 |         15 |         33 |        454 |
| nesolagus-dashboard/Nesolagus-dashboard/src/app/personas                                                                  |          3 |      1,553 |         52 |         72 |      1,677 |
| nesolagus-dashboard/Nesolagus-dashboard/src/app/personas (Files)                                                          |          1 |        659 |         26 |         31 |        716 |
| nesolagus-dashboard/Nesolagus-dashboard/src/app/personas/[id]                                                             |          2 |        894 |         26 |         41 |        961 |
| nesolagus-dashboard/Nesolagus-dashboard/src/app/personas/[id]/email                                                       |          1 |        461 |          9 |         17 |        487 |
| nesolagus-dashboard/Nesolagus-dashboard/src/app/personas/[id]/prospects                                                   |          1 |        433 |         17 |         24 |        474 |
| nesolagus-dashboard/Nesolagus-dashboard/src/app/print                                                                     |          2 |        306 |         11 |         25 |        342 |
| nesolagus-dashboard/Nesolagus-dashboard/src/app/print (Files)                                                             |          1 |         27 |          1 |          3 |         31 |
| nesolagus-dashboard/Nesolagus-dashboard/src/app/print/report                                                              |          1 |        279 |         10 |         22 |        311 |
| nesolagus-dashboard/Nesolagus-dashboard/src/app/reports                                                                   |          2 |        123 |          0 |         15 |        138 |
| nesolagus-dashboard/Nesolagus-dashboard/src/app/robots.txt                                                                |          1 |         13 |          0 |          3 |         16 |
| nesolagus-dashboard/Nesolagus-dashboard/src/app/settings                                                                  |          1 |      1,070 |         10 |         54 |      1,134 |
| nesolagus-dashboard/Nesolagus-dashboard/src/app/splash                                                                    |          1 |        184 |          7 |         17 |        208 |
| nesolagus-dashboard/Nesolagus-dashboard/src/app/strategic-plan                                                            |          1 |        445 |         10 |         21 |        476 |
| nesolagus-dashboard/Nesolagus-dashboard/src/app/zzz                                                                       |          1 |          3 |          0 |          1 |          4 |
| nesolagus-dashboard/Nesolagus-dashboard/src/components                                                                    |         20 |      1,367 |        131 |        215 |      1,713 |
| nesolagus-dashboard/Nesolagus-dashboard/src/components (Files)                                                            |          5 |        161 |         14 |         24 |        199 |
| nesolagus-dashboard/Nesolagus-dashboard/src/components/auth                                                               |          4 |        471 |         70 |        115 |        656 |
| nesolagus-dashboard/Nesolagus-dashboard/src/components/maps                                                               |          2 |        310 |         18 |         26 |        354 |
| nesolagus-dashboard/Nesolagus-dashboard/src/components/print                                                              |          1 |         11 |          0 |          4 |         15 |
| nesolagus-dashboard/Nesolagus-dashboard/src/components/ui                                                                 |          8 |        414 |         29 |         46 |        489 |
| nesolagus-dashboard/Nesolagus-dashboard/src/data                                                                          |         10 |        662 |          1 |         15 |        678 |
| nesolagus-dashboard/Nesolagus-dashboard/src/lib                                                                           |          3 |        522 |         35 |         93 |        650 |
| packages                                                                                                                  |         35 |      3,767 |         57 |        412 |      4,236 |
| packages/config                                                                                                           |          2 |         53 |          0 |         13 |         66 |
| packages/dashboard-widgets                                                                                                |          9 |        597 |          0 |         47 |        644 |
| packages/dashboard-widgets (Files)                                                                                        |          3 |         55 |          0 |          3 |         58 |
| packages/dashboard-widgets/src                                                                                            |          6 |        542 |          0 |         44 |        586 |
| packages/dashboard-widgets/src (Files)                                                                                    |          2 |         47 |          0 |          5 |         52 |
| packages/dashboard-widgets/src/components                                                                                 |          4 |        495 |          0 |         39 |        534 |
| packages/survey-components                                                                                                |         24 |      3,117 |         57 |        352 |      3,526 |
| packages/survey-components (Files)                                                                                        |          3 |        118 |          0 |         23 |        141 |
| packages/survey-components/src                                                                                            |         21 |      2,999 |         57 |        329 |      3,385 |
| packages/survey-components/src (Files)                                                                                    |          1 |         19 |          5 |          3 |         27 |
| packages/survey-components/src/components                                                                                 |         18 |      2,828 |         52 |        317 |      3,197 |
| packages/survey-components/src/components (Files)                                                                         |          4 |        478 |          4 |         61 |        543 |
| packages/survey-components/src/components/QuestionTypes                                                                   |         14 |      2,350 |         48 |        256 |      2,654 |
| packages/survey-components/src/types                                                                                      |          2 |        152 |          0 |          9 |        161 |
| scripts                                                                                                                   |          5 |        898 |         89 |        227 |      1,214 |
| studio                                                                                                                    |        114 |     14,256 |        705 |      2,268 |     17,229 |
| studio (Files)                                                                                                            |         19 |      2,393 |         30 |        753 |      3,176 |
| studio/app                                                                                                                |         13 |      1,428 |         55 |        151 |      1,634 |
| studio/app (Files)                                                                                                        |          2 |        138 |          4 |         12 |        154 |
| studio/app/api                                                                                                            |          5 |        615 |         34 |         69 |        718 |
| studio/app/api/clients                                                                                                    |          1 |        106 |         11 |         12 |        129 |
| studio/app/api/clients/[slug]                                                                                             |          1 |        106 |         11 |         12 |        129 |
| studio/app/api/clients/[slug]/theme                                                                                       |          1 |        106 |         11 |         12 |        129 |
| studio/app/api/drafts                                                                                                     |          3 |        352 |          1 |         36 |        389 |
| studio/app/api/drafts/[id]                                                                                                |          3 |        352 |          1 |         36 |        389 |
| studio/app/api/drafts/[id] (Files)                                                                                        |          1 |        167 |          1 |         17 |        185 |
| studio/app/api/drafts/[id]/preview-data                                                                                   |          2 |        185 |          0 |         19 |        204 |
| studio/app/api/drafts/[id]/preview-data (Files)                                                                           |          1 |        103 |          0 |         10 |        113 |
| studio/app/api/drafts/[id]/preview-data/seed                                                                              |          1 |         82 |          0 |          9 |         91 |
| studio/app/api/generate                                                                                                   |          1 |        157 |         22 |         21 |        200 |
| studio/app/clients                                                                                                        |          2 |        232 |          7 |         12 |        251 |
| studio/app/clients (Files)                                                                                                |          1 |        184 |          4 |          5 |        193 |
| studio/app/clients/[slug]                                                                                                 |          1 |         48 |          3 |          7 |         58 |
| studio/app/clients/[slug]/theme                                                                                           |          1 |         48 |          3 |          7 |         58 |
| studio/app/dashboard                                                                                                      |          1 |        104 |          0 |         10 |        114 |
| studio/app/dashboard/[id]                                                                                                 |          1 |        104 |          0 |         10 |        114 |
| studio/app/flow                                                                                                           |          1 |         89 |          2 |         10 |        101 |
| studio/app/flow/[id]                                                                                                      |          1 |         89 |          2 |         10 |        101 |
| studio/app/generate                                                                                                       |          1 |        205 |          6 |         30 |        241 |
| studio/app/preview                                                                                                        |          1 |         45 |          2 |          8 |         55 |
| studio/app/preview/[draftId]                                                                                              |          1 |         45 |          2 |          8 |         55 |
| studio/components                                                                                                         |         44 |      5,780 |        217 |        643 |      6,640 |
| studio/components/dashboard                                                                                               |          6 |      1,103 |          9 |         90 |      1,202 |
| studio/components/flow                                                                                                    |         12 |      1,802 |        113 |        221 |      2,136 |
| studio/components/flow (Files)                                                                                            |          8 |      1,468 |        113 |        187 |      1,768 |
| studio/components/flow/editors                                                                                            |          4 |        334 |          0 |         34 |        368 |
| studio/components/generation                                                                                              |          4 |        693 |         27 |         70 |        790 |
| studio/components/layout                                                                                                  |          2 |         95 |          3 |         11 |        109 |
| studio/components/preview                                                                                                 |          6 |      1,145 |         53 |        138 |      1,336 |
| studio/components/theme                                                                                                   |          1 |        296 |         12 |         33 |        341 |
| studio/components/ui                                                                                                      |         13 |        646 |          0 |         80 |        726 |
| studio/data                                                                                                               |          1 |        196 |          0 |          0 |        196 |
| studio/docs                                                                                                               |          2 |      1,081 |          0 |        261 |      1,342 |
| studio/hooks                                                                                                              |          1 |         88 |          0 |          9 |         97 |
| studio/lib                                                                                                                |          8 |        925 |         69 |        131 |      1,125 |
| studio/prisma                                                                                                             |          6 |         77 |         30 |         28 |        135 |
| studio/prisma/migrations                                                                                                  |          6 |         77 |         30 |         28 |        135 |
| studio/prisma/migrations/20251013224611_new                                                                               |          1 |         67 |         18 |         22 |        107 |
| studio/prisma/migrations/20251014011949_add_client_theme                                                                  |          1 |          1 |          1 |          1 |          3 |
| studio/prisma/migrations/20251015000657_add_flow_layout                                                                   |          1 |          1 |          1 |          1 |          3 |
| studio/prisma/migrations/20251016164042_add_dashboard_preview                                                             |          1 |          4 |          2 |          2 |          8 |
| studio/prisma/migrations/20251016183954_add_dashboard_preview                                                             |          1 |          2 |          7 |          1 |         10 |
| studio/prisma/migrations/20251017100000_add_dashboard_preview_responses                                                   |          1 |          2 |          1 |          1 |          4 |
| studio/scripts                                                                                                            |          3 |        472 |         11 |         24 |        507 |
| studio/src                                                                                                                |         16 |      1,718 |        280 |        243 |      2,241 |
| studio/src/contracts                                                                                                      |          2 |        239 |         43 |         11 |        293 |
| studio/src/llm                                                                                                            |          1 |         64 |         11 |          7 |         82 |
| studio/src/pipeline                                                                                                       |          7 |      1,143 |        174 |        178 |      1,495 |
| studio/src/pipeline (Files)                                                                                               |          1 |         53 |         15 |         13 |         81 |
| studio/src/pipeline/steps                                                                                                 |          6 |      1,090 |        159 |        165 |      1,414 |
| studio/src/utils                                                                                                          |          2 |         35 |          7 |         13 |         55 |
| studio/src/validation                                                                                                     |          4 |        237 |         45 |         34 |        316 |
| studio/styles                                                                                                             |          1 |         98 |         13 |         25 |        136 |
+---------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                                  | language           | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| /Users/lucaswhelan/nesolagus-suite/.claude/settings.local.json                                                            | JSON               |         21 |          0 |          1 |         22 |
| /Users/lucaswhelan/nesolagus-suite/IMPLEMENTATION_STATUS.md                                                               | Markdown           |        237 |          0 |         96 |        333 |
| /Users/lucaswhelan/nesolagus-suite/PHASE_1_COMPLETE.md                                                                    | Markdown           |        330 |          0 |         93 |        423 |
| /Users/lucaswhelan/nesolagus-suite/README.md                                                                              | Markdown           |        221 |          0 |         86 |        307 |
| /Users/lucaswhelan/nesolagus-suite/docs/DESIGN.md                                                                         | Markdown           |      1,170 |          0 |        242 |      1,412 |
| /Users/lucaswhelan/nesolagus-suite/docs/PRD.md                                                                            | Markdown           |        457 |          0 |        111 |        568 |
| /Users/lucaswhelan/nesolagus-suite/engine/DEPLOYMENT.md                                                                   | Markdown           |        121 |          0 |         35 |        156 |
| /Users/lucaswhelan/nesolagus-suite/engine/PORT_CHANGES.md                                                                 | Markdown           |         44 |          0 |         10 |         54 |
| /Users/lucaswhelan/nesolagus-suite/engine/QUICK_START.md                                                                  | Markdown           |         45 |          0 |         17 |         62 |
| /Users/lucaswhelan/nesolagus-suite/engine/README.md                                                                       | Markdown           |        117 |          0 |         43 |        160 |
| /Users/lucaswhelan/nesolagus-suite/engine/TESTING.md                                                                      | Markdown           |        326 |          0 |        115 |        441 |
| /Users/lucaswhelan/nesolagus-suite/engine/VERCEL_DEPLOYMENT.md                                                            | Markdown           |        138 |          0 |         38 |        176 |
| /Users/lucaswhelan/nesolagus-suite/engine/VERCEL_FRONTEND_SETUP.md                                                        | Markdown           |         63 |          0 |         23 |         86 |
| /Users/lucaswhelan/nesolagus-suite/engine/VIDEOASK_WEBHOOK_SETUP.md                                                       | Markdown           |        130 |          0 |         20 |        150 |
| /Users/lucaswhelan/nesolagus-suite/engine/backend/.eslintrc.json                                                          | JSON with Comments |         31 |          0 |          0 |         31 |
| /Users/lucaswhelan/nesolagus-suite/engine/backend/check-all-blocks.sql                                                    | MS SQL             |         24 |          2 |          1 |         27 |
| /Users/lucaswhelan/nesolagus-suite/engine/backend/check-answer-schema.sql                                                 | MS SQL             |          2 |          2 |          1 |          5 |
| /Users/lucaswhelan/nesolagus-suite/engine/backend/check-answer-storage-detail.sql                                         | MS SQL             |         15 |          1 |          0 |         16 |
| /Users/lucaswhelan/nesolagus-suite/engine/backend/check-answer-values.sql                                                 | MS SQL             |         22 |          2 |          1 |         25 |
| /Users/lucaswhelan/nesolagus-suite/engine/backend/check-b7-b9-specific.sql                                                | MS SQL             |         23 |          3 |          2 |         28 |
| /Users/lucaswhelan/nesolagus-suite/engine/backend/check-b9-full-record.sql                                                | MS SQL             |         23 |          2 |          1 |         26 |
| /Users/lucaswhelan/nesolagus-suite/engine/backend/check-b9-response.sql                                                   | MS SQL             |         13 |          1 |          0 |         14 |
| /Users/lucaswhelan/nesolagus-suite/engine/backend/check-complex-answers.sql                                               | MS SQL             |         30 |          3 |          2 |         35 |
| /Users/lucaswhelan/nesolagus-suite/engine/backend/check-data.sql                                                          | MS SQL             |         18 |          5 |          4 |         27 |
| /Users/lucaswhelan/nesolagus-suite/engine/backend/check-latest-b9.sql                                                     | MS SQL             |         28 |          2 |          1 |         31 |
| /Users/lucaswhelan/nesolagus-suite/engine/backend/check-metadata-complexity.sql                                           | MS SQL             |         16 |          2 |          1 |         19 |
| /Users/lucaswhelan/nesolagus-suite/engine/backend/check-metadata-content.sql                                              | MS SQL             |         21 |          2 |          1 |         24 |
| /Users/lucaswhelan/nesolagus-suite/engine/backend/check-question-flow.sql                                                 | MS SQL             |         35 |          4 |          1 |         40 |
| /Users/lucaswhelan/nesolagus-suite/engine/backend/check-rating-answers.sql                                                | MS SQL             |         24 |          3 |          2 |         29 |
| /Users/lucaswhelan/nesolagus-suite/engine/backend/check-rating-storage.sql                                                | MS SQL             |         26 |          3 |          1 |         30 |
| /Users/lucaswhelan/nesolagus-suite/engine/backend/check-semantic-answers.sql                                              | MS SQL             |         25 |          2 |          1 |         28 |
| /Users/lucaswhelan/nesolagus-suite/engine/backend/diagnose-question-mapping.sql                                           | MS SQL             |         14 |          1 |          0 |         15 |
| /Users/lucaswhelan/nesolagus-suite/engine/backend/package-lock.json                                                       | JSON               |      7,056 |          0 |          1 |      7,057 |
| /Users/lucaswhelan/nesolagus-suite/engine/backend/package.json                                                            | JSON               |         61 |          0 |          1 |         62 |
| /Users/lucaswhelan/nesolagus-suite/engine/backend/railway.json                                                            | JSON               |         12 |          0 |          0 |         12 |
| /Users/lucaswhelan/nesolagus-suite/engine/backend/src/config/configLoader.ts                                              | TypeScript         |        176 |         33 |         29 |        238 |
| /Users/lucaswhelan/nesolagus-suite/engine/backend/src/controllers/admin.controller.ts                                     | TypeScript         |        943 |         44 |        103 |      1,090 |
| /Users/lucaswhelan/nesolagus-suite/engine/backend/src/controllers/config.controller.ts                                    | TypeScript         |         92 |         19 |         11 |        122 |
| /Users/lucaswhelan/nesolagus-suite/engine/backend/src/controllers/preview.controller.ts                                   | TypeScript         |        378 |         65 |         73 |        516 |
| /Users/lucaswhelan/nesolagus-suite/engine/backend/src/controllers/survey.controller.ts                                    | TypeScript         |        123 |         12 |         28 |        163 |
| /Users/lucaswhelan/nesolagus-suite/engine/backend/src/database/init.sql                                                   | MS SQL             |         61 |          9 |          8 |         78 |
| /Users/lucaswhelan/nesolagus-suite/engine/backend/src/database/initialize.ts                                              | TypeScript         |         87 |          7 |         15 |        109 |
| /Users/lucaswhelan/nesolagus-suite/engine/backend/src/database/seed.sql                                                   | MS SQL             |          7 |          1 |          0 |          8 |
| /Users/lucaswhelan/nesolagus-suite/engine/backend/src/database/seed.ts                                                    | TypeScript         |         26 |          1 |          7 |         34 |
| /Users/lucaswhelan/nesolagus-suite/engine/backend/src/database/survey-structure.json                                      | JSON               |      1,570 |          0 |          1 |      1,571 |
| /Users/lucaswhelan/nesolagus-suite/engine/backend/src/index.ts                                                            | TypeScript         |         88 |         11 |         15 |        114 |
| /Users/lucaswhelan/nesolagus-suite/engine/backend/src/middleware/auth.ts                                                  | TypeScript         |         39 |          2 |          8 |         49 |
| /Users/lucaswhelan/nesolagus-suite/engine/backend/src/middleware/clerkAuth.ts                                             | TypeScript         |         74 |          8 |         15 |         97 |
| /Users/lucaswhelan/nesolagus-suite/engine/backend/src/middleware/errorHandler.ts                                          | TypeScript         |         37 |          1 |          7 |         45 |
| /Users/lucaswhelan/nesolagus-suite/engine/backend/src/middleware/validateRequest.ts                                       | TypeScript         |         23 |          0 |          4 |         27 |
| /Users/lucaswhelan/nesolagus-suite/engine/backend/src/routes/admin-mock.routes.ts                                         | TypeScript         |        133 |         10 |         23 |        166 |
| /Users/lucaswhelan/nesolagus-suite/engine/backend/src/routes/admin.routes.ts                                              | TypeScript         |         22 |          4 |          8 |         34 |
| /Users/lucaswhelan/nesolagus-suite/engine/backend/src/routes/clerkAdmin.routes.ts                                         | TypeScript         |         15 |          3 |          6 |         24 |
| /Users/lucaswhelan/nesolagus-suite/engine/backend/src/routes/config.routes.ts                                             | TypeScript         |          8 |          4 |          7 |         19 |
| /Users/lucaswhelan/nesolagus-suite/engine/backend/src/routes/preview.routes.ts                                            | TypeScript         |         20 |          9 |          8 |         37 |
| /Users/lucaswhelan/nesolagus-suite/engine/backend/src/routes/survey.routes.ts                                             | TypeScript         |         29 |          4 |          6 |         39 |
| /Users/lucaswhelan/nesolagus-suite/engine/backend/src/routes/webhook.routes.ts                                            | TypeScript         |        249 |         25 |         24 |        298 |
| /Users/lucaswhelan/nesolagus-suite/engine/backend/src/services/conditionalRouting.ts                                      | TypeScript         |        125 |         62 |         31 |        218 |
| /Users/lucaswhelan/nesolagus-suite/engine/backend/src/services/survey.service.ts                                          | TypeScript         |        239 |         13 |         29 |        281 |
| /Users/lucaswhelan/nesolagus-suite/engine/backend/src/services/surveyEngine.ts                                            | TypeScript         |        503 |         50 |         69 |        622 |
| /Users/lucaswhelan/nesolagus-suite/engine/backend/src/utils/logger.ts                                                     | TypeScript         |         36 |          0 |          9 |         45 |
| /Users/lucaswhelan/nesolagus-suite/engine/backend/src/validators/admin.validators.ts                                      | TypeScript         |          5 |          0 |          1 |          6 |
| /Users/lucaswhelan/nesolagus-suite/engine/backend/src/validators/survey.validators.ts                                     | TypeScript         |         46 |          2 |          4 |         52 |
| /Users/lucaswhelan/nesolagus-suite/engine/backend/tsconfig.json                                                           | JSON with Comments |         30 |          0 |          0 |         30 |
| /Users/lucaswhelan/nesolagus-suite/engine/config/clients/README.md                                                        | Markdown           |         44 |          0 |         15 |         59 |
| /Users/lucaswhelan/nesolagus-suite/engine/config/clients/acme-corp.json                                                   | JSON               |        179 |          0 |          0 |        179 |
| /Users/lucaswhelan/nesolagus-suite/engine/config/clients/default.json                                                     | JSON               |         48 |          0 |          1 |         49 |
| /Users/lucaswhelan/nesolagus-suite/engine/config/clients/example-complex.json                                             | JSON               |        233 |          0 |          1 |        234 |
| /Users/lucaswhelan/nesolagus-suite/engine/config/clients/example-simple.json                                              | JSON               |         75 |          0 |          1 |         76 |
| /Users/lucaswhelan/nesolagus-suite/engine/config/schema/survey.schema.json                                                | JSON               |        120 |          0 |          1 |        121 |
| /Users/lucaswhelan/nesolagus-suite/engine/config/schema/theme.schema.json                                                 | JSON               |        114 |          0 |          1 |        115 |
| /Users/lucaswhelan/nesolagus-suite/engine/config/survey.example.json                                                      | JSON               |        130 |          0 |          1 |        131 |
